data_dado_inserido;papel;tipo;empresa;setor;cotacao;data_ult_cotacao;min_52_sem;max_52_sem;vol_med_2m;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativos;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec_5a;ativo;disponibilidades;ativo_circulante;div_bruta;div_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
2021-11-26;KLBN3;ON N2;KLABIN ON N2;Madeira e Papel;R$ 5,96;2021-11-26;R$ 4,76;R$ 6,56;R$ 759.134,00;R$ 33.482.600.000,00;R$ 53.432.300.000,00;2021-09-30;5617890000;-0.17;10.1;0.59;6.2;0.96;7.65;42.3;2.2;28.8;0.82;23.4;3.87;10.7;-1.65;14.9;1.2;61.4;7.69;2.6;12.21;15.2;R$ 40.836.100.000,00;R$ 8.953.220.000,00;R$ 14.075.300.000,00;R$ 28.902.900.000,00;R$ 19.949.700.000,00;R$ 5.398.000.000,00;R$ 3.313.760.000,00;R$ 963.797.000,00
2021-11-19;CIEL3;ON NM;CIELO ON NM;Serviços Financeiros Diversos;R$ 2,20;2021-11-19;R$ 2,17;R$ 4,31;R$ 89.919.200,00;R$ 5.976.990.000,00;R$ 2.099.050.000,00;2021-09-30;2716820000;1.38;6.41;0.34;0.61;3.62;6.44;39.2;1.22;18.9;0.07;19;1.08;1;-3.06;9.3;6.6;9.5;1.47;1.08;2.26;-16.7;R$ 88.716.000.000,00;R$ 7.843.520.000,00;R$ 76.936.400.000,00;R$ 3.965.580.000,00;-R$ 3.877.940.000,00;R$ 9.824.110.000,00;R$ 931.832.000,00;R$ 211.942.000,00
2021-11-26;POMO3;ON;MARCOPOLO ON;Material de Transporte;R$ 2,37;2021-11-26;R$ 2,32;R$ 3,27;R$ 805.124,00;R$ 2.244.140.000,00;R$ 3.412.690.000,00;2021-09-30;946893000;-2.47;5.14;0.46;0.79;3;93.25;11.9;0.65;0.7;0.35;12.4;1.32;0.4;-8.94;0.5;3.8;15.4;27.13;2.05;141.8;3.7;R$ 6.476.720.000,00;R$ 1.178.300.000,00;R$ 3.330.020.000,00;R$ 2.346.850.000,00;R$ 1.168.560.000,00;R$ 2.843.210.000,00;R$ 436.648.000,00;R$ 108.196.000,00
2021-11-19;CRPG5;PNA;CRISTAL PNA;Químicos;R$ 64,13;2021-11-19;R$ 24,14;R$ 118,71;R$ 3.569.190,00;R$ 1.860.990.000,00;R$ 1.645.870.000,00;2021-09-30;29019000;2.92;6.45;9.94;2.14;29.99;8.23;35.1;1.91;23.2;1.56;29.6;3.13;18.9;4.49;24.3;7.7;33.2;6.58;5.15;7.28;12.6;R$ 1.194.950.000,00;R$ 219.290.000,00;R$ 738.942.000,00;R$ 4.172.000,00;-R$ 215.118.000,00;R$ 870.219.000,00;R$ 288.500.000,00;R$ 68.408.000,00
2021-11-26;STBP3;ON NM;SBPAR ON NM;Transporte;R$ 6,10;2021-11-26;R$ 4,89;R$ 9,93;R$ 39.043.300,00;R$ 5.263.270.000,00;R$ 4.545.660.000,00;2021-09-30;862831000;-1.77;30.56;0.2;2.33;2.62;18.15;37.7;3.89;21.5;1.11;12.7;5.69;6.1;-4.62;8.2;0;7.6;9.7;3.17;15.67;10.2;R$ 4.751.090.000,00;R$ 1.126.610.000,00;R$ 1.350.810.000,00;R$ 409.002.000,00;-R$ 717.610.000,00;R$ 2.261.990.000,00;R$ 172.247.000,00;R$ 66.625.000,00
2021-11-19;CVCB3;ON NM;CVC BRASIL ON NM;Viagens e Lazer;R$ 15,28;2021-11-19;R$ 14,30;R$ 28,65;R$ 163.356.000,00;R$ 3.437.010.000,00;R$ 3.659.910.000,00;2021-09-30;224935000;1.13;57.44;0.27;6.61;2.31;-8.36;100;5.09;-60.9;0.65;7.7;167.65;-7.8;-2.35;-10.4;0;11.5;-15.02;1.01;-8.91;-15.1;R$ 5.293.040.000,00;R$ 770.702.000,00;R$ 3.311.960.000,00;R$ 993.606.000,00;R$ 222.904.000,00;R$ 519.798.000,00;R$ 59.839.000,00;-R$ 81.049.000,00
2021-11-26;VIVA3;ON NM;VIVARA S.A. ON NM;Tecidos, Vestuário e Calçados;R$ 25,68;2021-11-26;R$ 21,90;R$ 34,56;R$ 27.335.200,00;R$ 6.065.560.000,00;R$ 5.890.690.000,00;2021-09-30;236198000;-1.12;22.93;1.12;4.52;5.69;20.21;74.1;4.81;23.8;2.56;21;7.26;12.7;16.19;17.6;0.6;19.7;16.09;2.48;19.63;27;R$ 2.368.820.000,00;R$ 465.779.000,00;R$ 1.400.600.000,00;R$ 290.905.000,00;-R$ 174.873.000,00;R$ 1.342.840.000,00;R$ 264.544.000,00;R$ 86.257.700,00
2021-11-26;ARML3;ON NM;ARMAC ON NM;Diversos;R$ 21,77;2021-11-26;R$ 18,96;R$ 26,74;R$ 14.843.300,00;R$ 7.527.180.000,00;R$ 7.357.510.000,00;2021-09-30;345760000;-10.3;0;0;6.79;3.21;0;0;0;0;3.84;0;9.09;0;39.93;0;0;0;0;4.93;0;0;R$ 1.958.980.000,00;R$ 892.411.000,00;R$ 1.038.990.000,00;R$ 722.739.000,00;-R$ 169.672.000,00;R$ 1.108.480.000,00;R$ 0,00;R$ 13.676.000,00
2021-11-19;ENGI3;ON;ENERGISA ON;Energia Elétrica;R$ 14,99;2021-11-19;R$ 12,93;R$ 19,02;R$ 142.077,00;R$ 27.200.300.000,00;R$ 43.785.500.000,00;2021-09-30;1814560000;1.49;11.17;1.34;3.11;4.82;6.04;21.1;1.06;17.6;0.53;10.5;8.91;8.7;-0.98;10.1;2.3;27.8;7.62;1.28;9.72;16.8;R$ 51.692.700.000,00;R$ 4.384.540.000,00;R$ 13.971.800.000,00;R$ 20.969.800.000,00;R$ 16.585.200.000,00;R$ 8.748.260.000,00;R$ 2.435.570.000,00;R$ 796.450.000,00
2021-11-26;AZUL4;PN;AZUL PN;Transporte;R$ 23,30;2021-11-26;R$ 23,30;R$ 48,55;R$ 226.339.000,00;R$ 8.062.520.000,00;R$ 14.824.200.000,00;2021-09-30;346031000;-14.18;-1.95;-11.96;-0.45;-51.86;-87.75;9.8;1.01;-1.2;0.45;-51.9;-1.73;-0.5;-0.28;-0.7;0;23.1;11.12;0.59;-161.34;-6.8;R$ 17.778.000.000,00;R$ 3.634.500.000,00;R$ 6.771.660.000,00;R$ 10.396.200.000,00;R$ 6.761.660.000,00;-R$ 17.945.900.000,00;-R$ 4.138.260.000,00;-R$ 2.196.290.000,00
2021-11-19;AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;R$ 24,48;2021-11-19;R$ 19,76;R$ 32,85;R$ 26.637.300,00;R$ 2.506.190.000,00;R$ 0,00;2021-09-30;102377000;-1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.7;0;0;0;0;41.5;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
2021-11-19;ALUP4;PN N2;ALUPAR PN N2;Energia Elétrica;R$ 8,07;2021-11-19;R$ 7,37;R$ 9,54;R$ 951.044,00;R$ 7.094.430.000,00;R$ 15.047.200.000,00;2021-09-30;879111000;0.88;5.05;1.6;1.07;7.51;1.53;72.9;1.09;71.1;0.29;43;4.09;18.9;-0.68;20.3;3.5;21.3;3.16;1.85;3.25;50.1;R$ 24.502.300.000,00;R$ 1.494.620.000,00;R$ 3.773.840.000,00;R$ 9.447.340.000,00;R$ 7.952.720.000,00;R$ 6.603.890.000,00;R$ 1.405.690.000,00;R$ 240.316.000,00
2021-11-19;AURA33;DR3;AURA 360 DR3;Mineração;R$ 49,50;2021-11-19;R$ 49,22;R$ 69,25;R$ 5.593.900,00;R$ 3.501.750.000,00;R$ 3.501.750.000,00;2021-09-30;70742500;-2.85;9.06;5.46;0;0;7.17;47;2.97;41.4;0;0;0;0;0;0;9.3;0;7.17;0;7.17;14.5;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 386.413.000,00;R$ 0,00
2021-11-19;BEEF3;ON NM;Minerva ON NM;Alimentos Processados;R$ 8,89;2021-11-19;R$ 7,53;R$ 10,82;R$ 99.529.900,00;R$ 5.313.290.000,00;R$ 11.128.300.000,00;2021-09-30;597670000;-0.45;9.44;0.94;11;0.81;2.74;17.1;0.21;7.7;0.26;2.2;0.77;9.5;-0.98;21.9;11.6;116.5;4.93;1.92;5.75;20.8;R$ 20.393.200.000,00;R$ 8.030.710.000,00;R$ 14.491.500.000,00;R$ 13.845.700.000,00;R$ 5.815.020.000,00;R$ 483.053.000,00;R$ 562.718.000,00;R$ 72.374.000,00
2021-11-19;BKBR3;ON NM;BK BRASIL ON NM;Hoteis e Restaurantes;R$ 7,60;2021-11-19;R$ 6,87;R$ 12,40;R$ 28.129.900,00;R$ 2.092.700.000,00;R$ 2.439.610.000,00;2021-09-30;275355000;0.26;-5.3;-1.43;1.35;5.62;-7.68;60.6;0.8;-10.4;0.56;-15.1;19.65;-7.3;-1.53;-9;0;-25.5;26.67;1.16;-8.95;3.9;R$ 3.710.920.000,00;R$ 485.766.000,00;R$ 792.640.000,00;R$ 832.677.000,00;R$ 346.911.000,00;R$ 1.547.140.000,00;-R$ 394.712.000,00;-R$ 37.946.000,00
2021-11-19;BOAS3;ON NM;BOA VISTA ON NM;Serviços Financeiros Diversos;R$ 8,51;2021-11-19;R$ 7,56;R$ 14,00;R$ 9.771.120,00;R$ 4.522.560.000,00;R$ 3.398.720.000,00;2021-09-30;531440000;4.03;31.98;0.27;2.26;3.77;28.21;49.8;6.32;22.4;1.75;19.8;3.7;6.2;5.49;12.2;0.2;7.1;10.44;7.7;21.2;12.8;R$ 2.582.820.000,00;R$ 1.233.740.000,00;R$ 1.405.130.000,00;R$ 109.897.000,00;-R$ 1.123.840.000,00;R$ 2.001.970.000,00;R$ 141.424.000,00;R$ 49.782.000,00
2021-11-26;KLBN4;PN N2;KLABIN PN N2;Madeira e Papel;R$ 4,35;2021-11-26;R$ 4,13;R$ 6,05;R$ 3.114.680,00;R$ 24.437.800.000,00;R$ 44.387.500.000,00;2021-09-30;5617890000;-1.36;7.37;0.59;4.53;0.96;5.59;42.3;1.61;28.8;0.6;23.4;2.82;10.7;-1.2;14.9;1.7;61.4;6.39;2.6;10.14;15.2;R$ 40.836.100.000,00;R$ 8.953.220.000,00;R$ 14.075.300.000,00;R$ 28.902.900.000,00;R$ 19.949.700.000,00;R$ 5.398.000.000,00;R$ 3.313.760.000,00;R$ 963.797.000,00
2021-11-26;POMO4;PN N2;MARCOPOLO PN N2;Material de Transporte;R$ 2,65;2021-11-26;R$ 2,45;R$ 3,57;R$ 12.104.300,00;R$ 2.509.270.000,00;R$ 3.677.820.000,00;2021-09-30;946893000;-3.64;5.75;0.46;0.88;3;104.26;11.9;0.73;0.7;0.39;12.4;1.47;0.4;-10;0.5;3.4;15.4;29.24;2.05;152.82;3.7;R$ 6.476.720.000,00;R$ 1.178.300.000,00;R$ 3.330.020.000,00;R$ 2.346.850.000,00;R$ 1.168.560.000,00;R$ 2.843.210.000,00;R$ 436.648.000,00;R$ 108.196.000,00
2021-11-26;SULA11;UNT N2;Sul America UNT N2;Previdência e Seguros;R$ 25,41;2021-11-26;R$ 24,59;R$ 42,41;R$ 110.186.000,00;R$ 10.820.700.000,00;-R$ 3.545.870.000,00;2021-09-30;1277530000;-5.92;26.64;0.95;1.31;19.39;277.41;8;0.56;0.2;0.39;2.1;1.07;0.1;-12.18;0.3;0.6;4.9;-19.88;2.19;-90.91;2.9;R$ 27.711.300.000,00;R$ 16.463.300.000,00;R$ 18.563.200.000,00;R$ 2.096.720.000,00;-R$ 14.366.600.000,00;R$ 8.256.910.000,00;R$ 406.221.000,00;R$ 280.319.000,00
2021-11-19;CEBR5;PNA;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA;Energia Elétrica;R$ 17,00;2021-11-19;R$ 14,69;R$ 29,84;R$ 120.491,00;R$ 1.225.390.000,00;-R$ 269.966.000,00;2021-09-30;72082000;-2.3;0.77;22.03;0.64;26.41;7.04;-8.4;-1.43;-20.3;0.55;-189.7;0.77;7.8;0.77;24.5;111.6;83.4;-1.48;22.04;-1.55;-26;R$ 2.220.100.000,00;R$ 1.495.360.000,00;R$ 1.677.760.000,00;R$ 0,00;-R$ 1.495.360.000,00;R$ 1.903.810.000,00;R$ 1.587.670.000,00;R$ 31.286.000,00
2021-11-19;CEPE6;PNB;CELPE PNB;Energia Elétrica;R$ 28,01;2021-11-03;R$ 26,15;R$ 42,72;R$ 133,00;R$ 2.089.880.000,00;R$ 7.472.880.000,00;2021-09-30;74612000;0;4.84;5.79;1.11;25.33;1.95;17.2;0.24;12.6;0.17;5.1;-4.48;8.8;-0.3;9.9;11.6;22.9;5.31;0.88;6.97;-2.6;R$ 12.239.000.000,00;R$ 331.000.000,00;R$ 3.420.000.000,00;R$ 5.714.000.000,00;R$ 5.383.000.000,00;R$ 1.890.000.000,00;R$ 432.200.000,00;R$ 96.000.000,00
2021-11-26;VIVR3;ON NM;VIVER ON NM;Construção Civil;R$ 1,47;2021-11-26;R$ 0,80;R$ 9,81;R$ 30.674.900,00;R$ 206.432.000,00;R$ 351.096.000,00;2021-09-30;140430000;-10.91;-2.6;-0.56;-1.65;-0.89;-4.81;13.5;2.63;-54.7;0.6;-101.2;-2.22;-12.4;-0.67;-16;0;63.5;-8.48;0.64;-8.19;58;R$ 346.030.000,00;R$ 65.960.000,00;R$ 162.041.000,00;R$ 210.624.000,00;R$ 144.664.000,00;-R$ 124.814.000,00;-R$ 79.314.000,00;-R$ 18.049.000,00
2021-11-19;CPFE3;ON;CPFL ENERGIA S.A. ON;Energia Elétrica;R$ 25,75;2021-11-19;R$ 23,14;R$ 30,39;R$ 79.708.400,00;R$ 29.670.600.000,00;R$ 44.301.800.000,00;2021-09-30;1152250000;2.1;6.71;3.84;2.01;12.81;4.38;22.9;0.79;18;0.48;12;15.44;11;-0.95;13;11.7;30;5.39;1.14;6.54;8.8;R$ 61.639.600.000,00;R$ 4.920.860.000,00;R$ 15.455.000.000,00;R$ 19.552.100.000,00;R$ 14.631.300.000,00;R$ 14.756.100.000,00;R$ 4.420.540.000,00;R$ 1.401.850.000,00
2021-11-26;BRIT3;ON NM;BRISANET ON NM;Telecomunicações;R$ 6,30;2021-11-26;R$ 6,22;R$ 13,98;R$ 5.075.720,00;R$ 2.829.300.000,00;R$ 2.654.290.000,00;2021-09-30;449095000;-5.97;0;0;2.11;2.99;0;0;0;0;1.04;0;3.07;0;61.33;0;0;0;0;2.81;0;0;R$ 2.722.730.000,00;R$ 1.283.690.000,00;R$ 1.427.780.000,00;R$ 1.108.680.000,00;-R$ 175.007.000,00;R$ 1.341.070.000,00;R$ 0,00;-R$ 6.623.000,00
2021-11-19;CYRE3;PN;CYRELA BRAZIL REALTY PN;Construção Civil;R$ 15,12;2021-11-19;R$ 14,09;R$ 28,94;R$ 140.523.000,00;R$ 6.044.110.000,00;R$ 7.236.680.000,00;2021-09-30;399743000;4.06;6.31;2.4;0.98;15.51;7.8;34.5;1.33;17.1;0.46;22.9;1.17;5.9;8.31;7.2;17.5;15.5;8.82;3.41;9.34;15;R$ 13.163.000.000,00;R$ 2.210.400.000,00;R$ 7.285.660.000,00;R$ 3.402.960.000,00;R$ 1.192.560.000,00;R$ 6.198.680.000,00;R$ 958.037.000,00;R$ 237.546.000,00
2021-11-19;EALT4;PN;ELECTRO AÇO ALTONA S/A PN;Máquinas e Equipamentos;R$ 6,10;2021-11-19;R$ 4,50;R$ 8,31;R$ 164.846,00;R$ 137.250.000,00;R$ 229.142.000,00;2021-09-30;22500000;1.67;4.65;1.31;0.71;8.64;3.99;24.4;0.41;10.2;0.29;8.7;3.8;7.2;-1.99;8.1;5;15.2;4.96;1.2;6.66;19;R$ 481.008.000,00;R$ 25.871.000,00;R$ 217.605.000,00;R$ 117.763.000,00;R$ 91.892.000,00;R$ 194.506.000,00;R$ 29.510.000,00;R$ 12.281.000,00
2021-11-19;ELET6;PNB;ELETROBRÁS PNB;Energia Elétrica;R$ 32,53;2021-11-19;R$ 26,36;R$ 47,42;R$ 92.994.600,00;R$ 51.037.300.000,00;R$ 75.809.600.000,00;2021-09-30;1568930000;1.66;7.95;4.09;0.67;48.52;-14.5;65.9;1.72;-11.8;0.26;21.8;2.74;-1.8;-0.71;-2.1;8.1;8.4;-46;1.7;-21.54;-7.4;R$ 193.255.000.000,00;R$ 24.326.200.000,00;R$ 45.209.100.000,00;R$ 49.098.500.000,00;R$ 24.772.300.000,00;R$ 76.128.500.000,00;R$ 6.422.970.000,00;R$ 923.845.000,00
2021-11-19;ENGI4;PN;ENERGISA PN;Energia Elétrica;R$ 6,85;2021-11-19;R$ 6,34;R$ 8,28;R$ 180.826,00;R$ 12.429.800.000,00;R$ 29.015.000.000,00;2021-09-30;1814560000;0.74;5.1;1.34;1.42;4.82;2.76;21.1;0.49;17.6;0.24;10.5;4.07;8.7;-0.45;10.1;5.1;27.8;5.05;1.28;6.44;16.8;R$ 51.692.700.000,00;R$ 4.384.540.000,00;R$ 13.971.800.000,00;R$ 20.969.800.000,00;R$ 16.585.200.000,00;R$ 8.748.260.000,00;R$ 2.435.570.000,00;R$ 796.450.000,00
2021-11-19;EQPA3;ON;EQTL PARA ON;Energia Elétrica;R$ 5,22;2021-11-19;R$ 2,76;R$ 6,00;R$ 44.959,00;R$ 11.531.400.000,00;R$ 13.630.500.000,00;2021-09-30;2209070000;1.56;12.27;0.43;3.2;1.63;6.6;29.1;1.55;23.5;0.9;12.6;5.63;13.7;-3.32;18.9;6.7;26.1;6.55;1.56;7.8;8.4;R$ 12.794.300.000,00;R$ 2.601.430.000,00;R$ 5.716.610.000,00;R$ 4.700.550.000,00;R$ 2.099.120.000,00;R$ 3.607.190.000,00;R$ 939.845.000,00;R$ 376.681.000,00
2021-11-26;B3SA3;ON;B3 ON;Serviços Financeiros Diversos;R$ 11,78;2021-11-26;R$ 11,78;R$ 20,17;R$ 591.184.000,00;R$ 72.164.300.000,00;R$ 62.141.500.000,00;2021-09-30;6126000000;-4.77;15.28;0.77;3.2;3.69;11.09;90.7;7;63.2;1.32;45.8;7.26;11.9;-10.91;21.2;7;20.9;8.2;1.64;9.55;33.8;R$ 54.807.500.000,00;R$ 23.973.900.000,00;R$ 25.600.800.000,00;R$ 13.951.200.000,00;-R$ 10.022.700.000,00;R$ 22.580.300.000,00;R$ 4.722.880.000,00;R$ 1.176.130.000,00
2021-11-19;AMAR3;ON NM;LOJAS MARISA ON NM;Comércio;R$ 4,48;2021-11-19;R$ 4,11;R$ 10,01;R$ 34.418.900,00;R$ 1.172.270.000,00;R$ 2.390.450.000,00;2021-09-30;261667000;6.92;-12.03;-0.37;1.26;3.56;4.64;45.2;0.48;10.4;0.35;0.4;4.74;7.5;-1.63;9.8;0;-10.5;4.44;1.17;9.45;-5.3;R$ 3.370.920.000,00;R$ 275.437.000,00;R$ 1.719.450.000,00;R$ 1.493.620.000,00;R$ 1.218.180.000,00;R$ 931.310.000,00;-R$ 97.406.000,00;R$ 44.379.000,00
2021-11-19;AVLL3;ON NM;ALPHAVILLE ON NM;Construção Civil;R$ 26,50;2021-11-19;R$ 19,16;R$ 31,94;R$ 640.824,00;R$ 594.019.000,00;R$ 1.362.180.000,00;2021-09-30;22415800;1.92;-1.16;-22.83;4.39;6.04;-6.03;0.1;2.06;-34.1;0.3;-135.9;6.77;-5;-0.55;-5.8;0;-378.1;-15.74;1.13;-13.84;0;R$ 1.971.960.000,00;R$ 170.962.000,00;R$ 749.627.000,00;R$ 939.125.000,00;R$ 768.163.000,00;R$ 135.329.000,00;-R$ 511.700.000,00;-R$ 110.094.000,00
2021-11-19;BAZA3;ON;BANCO DA AMAZONIA S.A. ON;Intermediários Financeiros;R$ 39,20;2021-11-19;R$ 35,20;R$ 41,84;R$ 33.324,00;R$ 1.162.120.000,00;R$ 0,00;2021-09-30;29646000;0.51;2.05;19.09;0.41;96.39;0;0;0;0;0;0;0;0;0;0;6.6;19.8;0;0;0;-1.7;R$ 24.214.400.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.857.610.000,00;R$ 565.816.000,00;R$ 121.787.000,00
